Sequence_ID,ACC_Lag_1,ACC_Lag_2,ACC_Lag_3
PositiveID_115075,0.3761719905772917,-0.1088833685537997,0.0967748989921196
PositiveID_29205,0.07943844384549574,-0.09065600111494238,-0.016402048144963943
PositiveID_84423,0.013523733960118984,-0.06289295530544964,0.08262592137665373
PositiveID_119229,0.012806531565549749,0.008068190495794774,0.013609885378768798
PositiveID_30333,0.11370549614395252,-0.014931056020382536,-0.1362561063094978
PositiveID_121267,0.22554102241292726,0.18983836589473535,0.2063674943695472
PositiveID_238847,0.715354102863522,0.4703176680547293,0.3262929690735622
PositiveID_86944,-0.01640794163223125,-0.37734584654341197,0.05002910513602936
PositiveID_78419,0.07893887884388016,-0.3593952868830717,-0.2488698089634903
PositiveID_18706,0.032956972274436114,0.12717811275125626,0.06628197937657429
PositiveID_62975,-0.0748840807967643,-0.012314401190091036,0.041114429850025426
PositiveID_8164,0.1662654852120737,-0.13217486820835112,0.07174463350702177
PositiveID_421228,0.4031897582350047,0.1402099939773976,0.04222520601028649
PositiveID_876,0.5194186523664422,0.468152444172708,0.3056433380140691
PositiveID_25010,-0.0018319238579122675,-0.007728274885224864,0.015747719730348806
PositiveID_8265,-0.014583702715040378,0.007142522572754285,0.02897236001161694
PositiveID_537252,0.08261307257413175,-0.38715641742371304,0.3480890652557319
PositiveID_31018,-0.04669887882371039,0.02761504646250411,-0.02506023370637516
PositiveID_346,-0.02647154939387715,-0.1313124428506351,-0.08151413165908222
PositiveID_15328,0.00845843109055415,0.005498497280138864,0.008417797836845417
PositiveID_65331,0.09055622594118934,0.02370936286254364,-0.06283747182767337
PositiveID_13527,0.09514298931759926,-0.07895407513037245,0.18615924237824574
PositiveID_42965,0.03670774229019845,0.03408321939248242,-0.0011332731105088741
PositiveID_125413,-0.09718320597989515,-0.030998614242872355,0.08938094356967485
PositiveID_137882,0.009518851874861112,-0.04705638033337973,-0.04159715886277254
PositiveID_110614,0.017177365649257398,0.012293231062095861,0.014154535646649744
PositiveID_14183,-0.15155601803725352,0.010246721564026002,0.004909267141115441
PositiveID_181722,-0.007317586039054677,-0.027353580925154726,0.007997005028637118
PositiveID_422207,0.0003654675061892086,0.01210958659464792,0.12567148022433222
PositiveID_237737,-0.01544859738752527,-0.00962671223649588,0.009912812055455284
PositiveID_36831,0.13717257320791154,-0.009019723530437838,-0.07290469946432682
PositiveID_55802,0.0771053233590894,0.03116553347425074,0.015582765951710233
PositiveID_189689,-0.0736039568311685,-0.04881004541138886,-0.41647285264406625
PositiveID_179783,0.03046851218174515,0.03887159987255037,-0.015393277521911369
PositiveID_238556,0.10535307466895812,-0.5175990481856039,0.22380447141921248
PositiveID_132802,-0.0628758421174146,0.0481301810787811,-0.040831519997175096
PositiveID_17376,0.1338429586419278,0.029681371361027158,0.01408384290904797
PositiveID_151601,-0.013669845152348741,0.007043987182204004,-0.0025993236083410314
PositiveID_121112,0.07699129952236558,0.07275309917355371,0.04528965448571144
PositiveID_56900,-0.2682997689433901,0.06677254307551642,-0.1058363063357902
PositiveID_51929,0.1382423430020919,0.11402142303700129,0.1170966842092679
PositiveID_53956,0.37923209510971645,0.5605345273355852,0.5115648426863846
PositiveID_548883,-0.0034487106017191925,-0.051227586206896554,0.03835504322766571
PositiveID_196950,0.2485819842588302,0.22982941108739363,0.20021028354805712
PositiveID_140845,-0.0017023200753256726,-0.020179458063922077,-0.019058895011718653
PositiveID_119048,-0.24507454495563888,0.11220022128464455,-0.03271668095382944
PositiveID_20071,0.03492434194862156,-0.020214447550251258,-0.020769553369017636
PositiveID_133070,-0.028008887311003698,0.006771673270406587,0.004568176349326775
PositiveID_156350,-0.0063019140487822695,-0.05750664464778705,-0.024192154209006778
PositiveID_75484,-0.008928829283759461,-0.009951484558366466,-0.006503248513317526
PositiveID_46198,0.09713274983899614,0.026874222544524203,0.06947842304339606
PositiveID_538677,0.046554857688079744,-0.08360753792293547,-0.030813366979907917
PositiveID_174254,-0.17062454928431808,0.011539164821876256,0.011786530896022652
PositiveID_115763,-0.08343540602549876,0.08036818686511767,-0.04868972619095716
PositiveID_19891,0.017349021343426814,-0.09481701564803478,-0.024827036297193135
PositiveID_36877,-0.3573148911442356,0.01773506627763833,0.0054172599813790655
PositiveID_134430,-0.009032567934744974,-0.004807224741670926,0.013572640956124697
PositiveID_67802,-0.009780014033541812,-0.00011449184052058759,-0.004518111117219029
PositiveID_538965,-0.14317080187223724,0.16288728107182843,-0.17107066003717883
PositiveID_59757,-9.012952276454649e-05,-0.00016994685254284204,-3.9924539382017586e-07
PositiveID_188656,-0.2537028467024225,0.12634715992017398,0.07335477538239187
PositiveID_74970,-0.10680899911773363,-0.6448576639842202,0.5609090045193648
